Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Bam Adebayo,C,25,MIA,23,850,15.8,0.53,0.009,0.274,8.3,22.5,15.3,15.9,1.2,1.8,13.8,23.8,0.3,1.1,1.4,0.078,-1.2,0.6,-0.6,0.3
Santi Aldama,PF,22,MEM,6,101,15.0,0.576,0.455,0.061,6.6,20.6,13.1,10.9,1.4,0.0,5.6,14.9,0.2,0.1,0.3,0.139,2.3,1.7,4.0,0.2
Nickeil Alexander-Walker,SG,24,MIN,5,148,7.7,0.578,0.714,0.086,0.8,7.3,3.9,7.1,1.0,0.6,9.9,12.6,0.0,0.0,0.0,0.011,-1.9,0.0,-1.9,0.0
Grayson Allen,SG,27,MIL,5,149,11.0,0.658,0.707,0.171,0.7,8.7,4.5,7.8,0.6,0.0,8.3,13.6,0.2,0.0,0.2,0.073,-0.2,-1.0,-1.1,0.0
Jarrett Allen,C,24,CLE,5,191,13.9,0.608,0.0,0.167,9.5,12.9,11.3,10.2,1.1,2.3,7.2,10.2,0.3,0.3,0.6,0.15,0.6,1.8,2.4,0.2
Kyle Anderson,PF,29,MIN,4,104,14.9,0.551,0.2,0.067,3.3,14.9,9.0,27.6,3.4,1.7,16.3,16.4,0.1,0.1,0.2,0.079,-0.5,4.2,3.7,0.1
Giannis Antetokounmpo,PF,28,MIL,3,91,18.8,0.525,0.057,0.585,9.5,32.4,20.4,29.8,0.5,1.9,17.4,37.3,-0.1,0.1,0.0,-0.026,1.3,0.6,2.0,0.1
Thanasis Antetokounmpo,PF,30,MIL,2,5,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.017,-5.2,-2.3,-7.5,0.0
Deandre Ayton,C,24,PHO,10,319,13.9,0.553,0.0,0.207,10.9,24.4,17.8,4.4,0.9,1.8,12.3,19.0,0.1,0.2,0.3,0.047,-1.9,-1.6,-3.5,-0.1
Patrick Baldwin Jr.,SF,20,GSW,3,11,-4.3,0.0,1.0,0.0,0.0,28.6,14.1,10.4,0.0,0.0,0.0,11.2,-0.1,0.0,0.0,-0.176,-9.8,-2.5,-12.3,0.0
Mo Bamba,C,24,LAL,3,10,2.9,0.0,0.5,0.0,0.0,30.2,15.9,11.8,0.0,9.0,0.0,8.8,0.0,0.0,0.0,-0.083,-6.2,3.1,-3.1,0.0
Desmond Bane,SG,24,MEM,6,231,13.3,0.548,0.431,0.25,2.9,13.7,7.9,14.4,0.6,0.0,11.7,26.4,0.1,0.2,0.3,0.056,1.1,-0.2,0.8,0.2
Harrison Barnes,PF,30,SAC,7,196,12.0,0.525,0.417,0.433,5.1,7.5,6.2,3.5,1.9,1.0,4.0,15.1,0.2,0.2,0.4,0.091,0.0,0.0,0.0,0.1
RJ Barrett,SG,22,NYK,11,377,14.6,0.55,0.372,0.396,1.5,13.3,7.4,15.0,1.2,0.5,11.5,25.7,0.3,0.5,0.8,0.105,0.9,0.4,1.3,0.3
Nicolas Batum,PF,34,LAC,5,92,7.9,0.579,0.895,0.0,1.2,13.4,6.9,8.5,1.1,1.7,9.5,9.6,0.1,0.0,0.1,0.028,-1.5,1.1,-0.4,0.0
Malik Beasley,SG,26,LAL,11,91,5.4,0.45,0.765,0.176,3.7,5.5,4.7,3.0,0.5,0.0,5.2,18.7,-0.1,0.0,0.0,-0.019,-3.6,-2.1,-5.7,-0.1
MarJon Beauchamp,SF,22,MIL,2,5,32.9,0.833,0.333,0.0,0.0,23.6,11.3,0.0,0.0,0.0,0.0,25.3,0.0,0.0,0.0,0.21,13.4,1.2,14.6,0.0
Saddiq Bey,SF,23,ATL,6,133,10.9,0.512,0.45,0.225,5.2,15.2,9.8,5.6,1.1,0.0,4.4,14.2,0.1,0.0,0.1,0.038,-0.6,-1.5,-2.1,0.0
Bismack Biyombo,C,30,PHO,8,78,15.4,0.564,0.0,1.125,15.3,24.9,20.2,9.8,0.0,10.6,20.1,16.9,0.1,0.1,0.1,0.088,-4.4,2.9,-1.5,0.0
Bogdan Bogdanović,SG,30,ATL,6,157,19.1,0.701,0.611,0.13,1.3,12.1,6.2,13.2,1.8,3.0,5.0,15.7,0.5,0.0,0.5,0.165,3.3,2.7,6.0,0.3
Devin Booker,SG,26,PHO,11,459,28.6,0.686,0.253,0.278,3.1,10.2,6.7,29.1,2.0,1.6,10.6,29.0,2.1,0.2,2.3,0.236,8.7,2.0,10.7,1.5
Brandon Boston Jr.,SF,21,LAC,1,1,-50.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,42.0,0.0,0.0,0.0,-1.438,-40.9,-17.3,-58.2,0.0
Christian Braun,SG,21,DEN,19,247,9.5,0.572,0.222,0.422,5.9,12.3,9.2,5.7,2.3,1.4,15.8,11.5,0.1,0.4,0.5,0.091,-3.3,2.0,-1.4,0.0
Mikal Bridges,SG,26,BRK,4,157,16.3,0.539,0.325,0.299,1.5,13.7,7.7,20.5,0.7,1.2,8.4,29.8,0.0,0.1,0.1,0.027,2.2,-0.8,1.4,0.1
Malcolm Brogdon,PG,30,BOS,19,474,13.4,0.535,0.444,0.179,3.2,12.4,8.0,17.2,0.3,0.9,8.2,22.0,0.5,0.3,0.7,0.076,-0.2,-1.5,-1.6,0.0
Dillon Brooks,SF,27,MEM,6,167,2.4,0.393,0.545,0.091,1.7,9.8,5.5,10.3,0.3,0.0,8.0,21.8,-0.4,0.1,-0.3,-0.082,-6.1,-1.4,-7.5,-0.2
Bruce Brown,SF,26,DEN,20,530,15.5,0.607,0.324,0.278,3.4,13.8,8.8,10.2,2.0,1.5,10.4,18.7,0.8,0.7,1.6,0.141,-0.3,1.4,1.1,0.4
Jaylen Brown,SF,26,BOS,20,751,15.5,0.57,0.31,0.203,3.9,12.9,8.5,15.0,1.4,0.9,14.2,27.9,0.2,0.6,0.8,0.051,-0.4,-0.6,-0.9,0.2
Troy Brown Jr.,SF,23,LAL,12,124,7.8,0.393,0.536,0.0,3.6,16.2,10.3,11.5,0.8,0.7,0.0,9.9,0.0,0.1,0.1,0.05,-2.5,1.1,-1.4,0.0
Jalen Brunson,PG,26,NYK,11,443,22.9,0.589,0.348,0.296,2.3,11.5,7.0,28.6,2.0,0.2,8.1,28.4,1.4,0.6,2.1,0.227,6.1,1.6,7.7,1.1
Thomas Bryant,C,25,DEN,1,0,,,,,,,,,,,,,0.0,0.0,0.0,,-3.7,-0.7,-4.3,0.0
Jimmy Butler,PF,33,MIA,22,874,24.0,0.565,0.176,0.421,6.0,12.6,9.3,25.1,2.3,1.6,7.3,29.1,2.4,1.1,3.4,0.189,5.0,1.5,6.5,1.9
