Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Al Horford,C,36,BOS,20,617,12.8,0.497,0.712,0.03,5.7,20.4,13.3,12.5,1.8,4.9,7.6,10.6,0.6,0.9,1.5,0.118,-0.4,3.2,2.8,0.7
Danuel House Jr.,SF,29,PHI,7,42,9.9,0.466,0.476,0.048,0.0,34.1,16.6,4.4,0.0,0.0,4.5,24.7,-0.1,0.0,0.0,-0.025,-4.2,-1.1,-5.3,0.0
Kevin Huerter,SG,24,SAC,7,183,6.6,0.424,0.542,0.111,0.5,17.2,8.6,6.1,0.8,4.7,5.0,17.2,-0.2,0.2,0.0,0.008,-4.6,0.5,-4.1,-0.1
De'Andre Hunter,SF,25,ATL,6,224,10.8,0.559,0.447,0.118,3.1,14.3,8.2,4.2,0.9,0.8,9.1,18.1,0.1,0.0,0.1,0.016,-1.9,-1.2,-3.1,-0.1
Bones Hyland,PG,22,LAC,5,82,8.0,0.444,0.455,0.227,1.3,4.5,2.8,7.3,2.4,0.9,7.6,26.9,-0.1,0.0,-0.1,-0.086,-4.7,-2.2,-6.8,-0.1
Joe Ingles,SF,35,MIL,5,89,12.2,0.739,0.87,0.0,1.2,6.6,3.8,14.7,1.6,1.0,20.7,13.7,0.1,0.0,0.1,0.078,0.2,0.0,0.2,0.1
Jaren Jackson Jr.,C,23,MEM,6,220,14.1,0.546,0.301,0.434,8.6,13.4,10.8,6.5,1.3,4.8,15.4,22.2,0.0,0.3,0.3,0.072,-1.5,1.4,-0.1,0.1
Reggie Jackson,PG,32,DEN,6,18,9.7,0.75,1.0,0.0,0.0,12.5,6.5,13.5,2.8,0.0,33.3,7.5,0.0,0.0,0.0,0.091,-1.8,3.6,1.7,0.0
LeBron James,PF,38,LAL,16,619,22.6,0.584,0.359,0.312,4.6,21.6,13.6,27.4,1.3,2.6,10.7,26.6,1.3,0.9,2.2,0.171,5.5,2.0,7.6,1.5
DaQuan Jeffries,SG,25,NYK,2,5,-6.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.03,-19.0,-1.0,-20.1,0.0
Cameron Johnson,PF,26,BRK,4,152,16.4,0.637,0.509,0.127,2.3,14.9,8.7,13.8,1.1,0.6,7.9,20.4,0.2,0.1,0.3,0.105,2.2,1.0,3.2,0.2
Jalen Johnson,SF,21,ATL,6,56,13.9,0.523,0.458,0.083,3.5,27.6,14.5,19.4,2.6,0.0,16.7,22.0,0.0,0.0,0.0,0.013,-0.4,2.2,1.8,0.1
Nikola Jokić,C,27,DEN,20,789,31.2,0.631,0.184,0.336,10.6,28.4,19.8,41.0,1.4,2.2,12.8,31.1,3.7,1.3,5.0,0.305,9.1,3.7,12.8,3.0
Tyus Jones,PG,26,MEM,6,120,7.9,0.362,0.528,0.083,2.4,13.7,7.6,26.4,3.2,0.0,17.7,15.8,-0.2,0.2,0.0,-0.013,-4.5,2.2,-2.3,0.0
DeAndre Jordan,C,34,DEN,4,14,8.8,0.644,0.0,0.667,0.0,32.1,16.6,9.7,0.0,6.2,34.0,18.9,0.0,0.0,0.0,-0.011,-7.2,4.6,-2.6,0.0
Nikola Jović,PF,19,MIA,7,13,3.8,0.25,0.5,0.0,8.6,35.8,22.0,0.0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,-0.067,-6.4,-3.2,-9.6,0.0
Luke Kennard,SG,26,MEM,5,107,15.1,0.727,0.696,0.174,4.4,15.3,9.5,9.7,1.8,0.0,3.9,10.1,0.3,0.1,0.4,0.19,1.8,3.1,4.8,0.2
Nathan Knight,C,25,MIN,2,5,-11.0,0.25,0.5,0.0,22.8,0.0,11.7,0.0,0.0,0.0,20.0,46.2,-0.1,0.0,-0.1,-0.67,-13.9,-12.1,-25.9,0.0
John Konchar,SF,26,MEM,5,49,5.3,0.222,0.444,0.0,7.7,13.4,10.4,11.0,2.0,3.6,10.0,8.5,-0.1,0.1,0.0,0.012,-5.4,3.4,-2.0,0.0
Furkan Korkmaz,SG,25,PHI,3,11,-0.1,0.347,0.5,1.0,0.0,10.9,5.3,12.0,0.0,0.0,25.8,16.3,0.0,0.0,0.0,-0.145,-6.7,-3.1,-9.8,0.0
Luke Kornet,C,27,BOS,8,32,28.5,0.957,0.125,0.25,18.4,17.4,17.9,0.0,0.0,2.8,0.0,12.5,0.2,0.0,0.2,0.337,7.6,0.6,8.2,0.1
Jonathan Kuminga,PF,20,GSW,10,61,15.6,0.608,0.292,0.375,6.7,8.6,7.6,12.4,1.6,0.0,12.5,21.6,0.1,0.1,0.1,0.099,0.5,0.2,0.7,0.0
Anthony Lamb,SF,25,GSW,6,31,3.7,0.5,0.8,0.0,3.3,16.9,10.0,0.0,1.5,2.7,28.6,9.3,0.0,0.0,0.0,-0.01,-6.7,0.7,-6.0,0.0
Jock Landale,C,27,PHO,7,113,16.2,0.648,0.037,0.519,10.6,18.2,14.5,3.6,1.3,2.2,5.7,13.7,0.3,0.1,0.3,0.144,-0.1,0.1,0.1,0.1
Damion Lee,SG,30,PHO,8,89,5.2,0.407,0.75,0.1,5.4,9.0,7.2,6.8,1.1,0.0,4.6,10.8,0.0,0.0,0.0,-0.009,-3.6,-0.8,-4.5,-0.1
Alex Len,C,29,SAC,7,54,11.2,0.816,0.0,0.667,12.8,25.3,18.9,2.6,0.0,5.3,37.6,13.7,0.0,0.1,0.1,0.084,-6.3,1.3,-5.0,0.0
Kawhi Leonard,SF,31,LAC,2,80,29.9,0.67,0.227,0.386,4.1,15.5,9.4,27.3,2.4,1.0,10.4,30.2,0.4,0.0,0.4,0.227,10.1,3.7,13.8,0.3
Meyers Leonard,C,30,MIL,2,5,-5.1,0.0,0.0,0.0,0.0,23.6,11.3,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,-0.201,-10.4,-5.3,-15.7,0.0
Caris LeVert,SG,28,CLE,5,170,12.4,0.546,0.571,0.206,2.9,12.5,7.9,13.3,0.6,0.5,6.8,20.3,0.1,0.2,0.3,0.092,1.2,0.8,2.1,0.2
Kenneth Lofton Jr.,PF,20,MEM,4,12,12.2,0.394,0.25,0.25,7.9,18.2,12.7,15.6,0.0,0.0,0.0,30.9,0.0,0.0,0.0,-0.042,2.4,-2.6,-0.2,0.0
Kevon Looney,C,26,GSW,13,325,18.8,0.584,0.0,0.281,19.1,35.1,27.0,17.4,1.2,1.3,15.3,10.8,0.8,0.6,1.4,0.206,1.4,1.8,3.1,0.4
Brook Lopez,C,34,MIL,5,182,18.4,0.653,0.254,0.194,8.3,11.6,9.9,4.8,1.8,4.4,13.1,19.4,0.3,0.1,0.4,0.113,1.0,0.4,1.4,0.2
Robin Lopez,C,34,CLE,2,6,46.9,1.031,0.0,0.667,20.2,0.0,9.7,0.0,0.0,0.0,20.5,38.1,0.1,0.0,0.1,0.443,10.8,5.6,16.4,0.0
Kevin Love,PF,34,MIA,20,359,13.7,0.543,0.739,0.134,4.4,31.4,17.7,9.6,1.3,2.0,7.4,17.0,0.3,0.6,0.9,0.115,0.1,1.1,1.3,0.3
Kyle Lowry,PG,36,MIA,23,599,13.4,0.562,0.506,0.19,2.2,13.4,7.7,24.1,2.0,2.3,17.5,17.2,0.4,0.8,1.2,0.095,-0.6,2.4,1.8,0.6
Trey Lyles,PF,27,SAC,7,118,12.6,0.545,0.675,0.125,7.6,27.6,17.3,6.0,0.8,0.0,6.6,15.2,0.1,0.1,0.3,0.114,0.4,-0.1,0.3,0.1
Terance Mann,SG,26,LAC,5,133,13.2,0.717,0.576,0.273,5.7,8.4,7.0,11.7,1.5,0.6,19.6,14.5,0.2,0.0,0.2,0.07,0.8,0.7,1.5,0.1
Caleb Martin,SF,27,MIA,23,694,15.3,0.657,0.505,0.17,4.4,16.4,10.3,7.8,1.5,1.3,9.8,15.9,1.2,0.8,2.0,0.14,0.6,1.7,2.3,0.8
Wesley Matthews,SF,36,MIL,2,41,11.3,0.667,0.778,0.0,2.6,5.7,4.1,3.0,2.3,2.1,0.0,9.2,0.1,0.0,0.1,0.106,1.6,3.2,4.8,0.1
Tyrese Maxey,SG,22,PHI,11,423,16.8,0.55,0.443,0.161,2.4,12.4,7.3,10.5,1.9,1.3,3.7,23.4,0.6,0.4,1.0,0.117,1.9,0.4,2.2,0.5
Miles McBride,PG,22,NYK,8,20,4.5,0.375,0.75,0.0,0.0,11.4,5.7,7.3,0.0,5.0,0.0,8.9,0.0,0.0,0.0,0.048,-2.7,1.8,-0.9,0.0
Jalen McDaniels,SF,25,PHI,8,102,5.2,0.475,0.45,0.0,3.3,15.2,9.1,7.2,0.5,0.0,13.0,10.4,0.0,0.1,0.0,0.011,-4.3,-0.8,-5.0,-0.1
Jordan McLaughlin,PG,26,MIN,2,14,-7.5,0.0,0.5,0.0,0.0,17.1,8.3,18.5,0.0,0.0,0.0,13.2,-0.1,0.0,-0.1,-0.269,-15.3,-2.9,-18.1,-0.1
De'Anthony Melton,SG,24,PHI,11,274,12.6,0.515,0.605,0.099,5.8,9.6,7.7,10.2,2.5,3.6,8.6,15.6,0.2,0.3,0.5,0.086,0.2,1.7,1.9,0.3
Chimezie Metu,PF,25,SAC,3,6,2.1,0.431,0.0,3.0,16.5,0.0,8.5,0.0,0.0,0.0,30.1,21.9,0.0,0.0,0.0,-0.161,-7.2,-5.6,-12.7,0.0
Khris Middleton,SF,31,MIL,5,173,19.1,0.6,0.372,0.349,4.4,17.0,10.4,26.9,0.8,0.0,14.6,28.3,0.3,0.0,0.4,0.105,2.5,-0.9,1.6,0.2
Patty Mills,PG,34,BRK,1,5,-20.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,-0.1,0.0,-0.1,-0.534,-20.0,-6.0,-26.0,0.0
Shake Milton,SG,26,PHI,6,21,17.5,0.68,0.2,0.4,0.0,17.1,8.3,15.5,5.0,0.0,14.5,15.2,0.0,0.0,0.1,0.181,-2.4,5.6,3.2,0.0
Josh Minott,SF,20,MIN,1,6,6.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,14.7,50.0,15.4,-0.1,0.0,0.0,-0.193,-14.8,12.9,-1.9,0.0
Davion Mitchell,PG,24,SAC,7,140,9.6,0.514,0.587,0.13,2.1,4.5,3.3,11.9,2.0,0.7,11.0,15.5,0.0,0.1,0.1,0.047,-1.6,0.7,-0.9,0.0
Donovan Mitchell,SG,26,CLE,5,207,15.7,0.518,0.433,0.173,1.8,11.9,7.0,33.7,2.5,1.3,14.5,29.7,-0.1,0.3,0.3,0.059,2.7,2.0,4.8,0.4
Evan Mobley,PF,21,CLE,5,188,9.5,0.476,0.021,0.167,9.7,20.8,15.5,8.6,0.8,2.8,18.9,15.8,-0.2,0.3,0.1,0.036,-3.0,0.8,-2.2,0.0
Malik Monk,SG,24,SAC,7,205,18.3,0.58,0.419,0.527,2.9,16.4,9.5,18.2,1.1,1.4,10.9,24.9,0.4,0.2,0.6,0.152,2.5,0.8,3.3,0.3
Moses Moody,SG,20,GSW,12,161,16.7,0.725,0.512,0.279,4.4,15.6,9.9,6.8,1.5,2.1,4.0,12.8,0.5,0.2,0.7,0.202,1.5,3.2,4.8,0.3
Wendell Moore Jr.,SG,21,MIN,1,2,-26.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.1,0.0,0.0,0.0,-0.757,-24.9,-9.0,-33.9,0.0
Ja Morant,PG,23,MEM,5,187,18.4,0.524,0.292,0.245,4.1,15.2,9.2,34.4,2.3,0.5,12.6,30.1,0.0,0.3,0.3,0.082,4.2,2.1,6.3,0.4
Marcus Morris,PF,33,LAC,3,68,6.1,0.423,0.414,0.138,1.6,20.0,10.2,0.0,0.7,1.1,3.1,19.6,-0.1,0.0,-0.1,-0.072,-5.2,-2.3,-7.4,-0.1
Dejounte Murray,SG,26,ATL,5,190,20.5,0.538,0.359,0.087,4.7,16.9,10.2,26.5,2.5,0.5,8.5,25.3,0.3,0.1,0.4,0.1,3.9,1.3,5.1,0.3
Jamal Murray,PG,25,DEN,20,799,21.6,0.586,0.363,0.198,2.3,13.8,8.2,28.1,1.9,0.5,10.1,27.9,2.0,1.0,3.0,0.181,4.1,0.7,4.8,1.4
Keegan Murray,SF,22,SAC,7,194,11.4,0.561,0.552,0.103,7.7,15.7,11.6,3.6,1.0,1.0,6.2,13.2,0.2,0.2,0.4,0.102,-0.3,0.3,0.0,0.1
Mike Muscala,C,31,BOS,6,21,17.9,0.781,1.0,1.0,16.8,5.3,10.9,6.3,0.0,0.0,14.8,14.6,0.1,0.0,0.1,0.21,5.5,-0.6,4.9,0.0
Raul Neto,PG,30,CLE,2,7,-18.2,0.266,1.0,2.0,0.0,0.0,0.0,19.5,0.0,0.0,51.5,26.0,-0.1,0.0,-0.1,-0.48,-19.1,-4.8,-23.9,0.0
Georges Niang,PF,29,PHI,11,157,6.4,0.667,0.722,0.0,0.0,3.0,1.5,2.0,0.0,1.4,12.2,12.1,0.1,0.0,0.1,0.04,-2.2,-1.7,-3.9,-0.1
Zeke Nnaji,PF,22,DEN,5,12,12.4,0.625,0.75,0.0,0.0,18.7,9.7,0.0,4.2,0.0,20.0,18.7,0.0,0.0,0.0,0.036,-0.2,2.4,2.2,0.0
Jaylen Nowell,SG,23,MIN,5,62,-1.1,0.298,0.346,0.077,7.4,1.9,4.7,7.2,0.0,0.0,6.9,21.5,-0.2,0.0,-0.3,-0.213,-6.5,-5.7,-12.2,-0.2
Royce O'Neale,SF,29,BRK,4,118,5.5,0.335,0.759,0.069,4.0,12.4,8.3,18.3,2.3,0.8,11.8,14.1,-0.2,0.1,-0.1,-0.045,-4.7,1.0,-3.7,-0.1
Josh Okogie,SG,24,PHO,10,175,9.3,0.48,0.378,0.351,8.2,5.9,7.0,9.1,1.7,0.9,6.6,11.5,0.2,0.0,0.2,0.048,-2.2,-0.1,-2.3,0.0
Onyeka Okongwu,C,22,ATL,6,131,14.0,0.612,0.04,0.4,14.4,17.3,15.7,6.7,0.7,5.7,19.2,11.4,0.2,0.0,0.2,0.084,-2.0,0.1,-1.9,0.0
Isaac Okoro,SF,22,CLE,5,75,12.8,0.624,0.565,0.261,4.8,6.0,5.4,9.1,1.4,2.4,13.5,18.5,0.1,0.1,0.2,0.111,0.0,2.4,2.4,0.1
Victor Oladipo,SG,30,MIA,2,45,14.7,0.566,0.263,0.158,2.5,15.5,8.9,7.4,2.3,2.2,9.0,22.3,0.0,0.1,0.1,0.065,-4.4,-0.9,-5.3,0.0
Cedi Osman,SF,27,CLE,5,93,6.7,0.518,0.8,0.36,1.3,16.8,9.4,8.4,1.1,1.0,14.7,17.1,-0.1,0.1,0.1,0.038,-4.1,1.4,-2.8,0.0
Chris Paul,PG,37,PHO,7,250,14.7,0.469,0.308,0.044,2.4,13.7,8.2,27.9,2.4,1.7,7.0,17.5,0.2,0.1,0.3,0.064,0.2,0.7,0.8,0.2
Cameron Payne,PG,28,PHO,7,152,10.3,0.578,0.563,0.063,0.0,10.5,5.4,17.6,1.0,1.1,15.4,16.9,0.0,0.0,0.1,0.017,-1.3,-0.4,-1.7,0.0
Gary Payton II,SG,30,GSW,12,192,17.7,0.707,0.278,0.167,11.7,12.0,11.8,6.8,2.0,2.6,16.0,14.8,0.4,0.2,0.6,0.154,0.9,2.0,2.9,0.2
Mason Plumlee,C,32,LAC,5,91,26.6,0.925,0.0,0.875,19.2,24.5,21.7,14.2,1.1,1.7,11.9,11.6,0.6,0.0,0.6,0.303,5.3,2.3,7.6,0.2
Jordan Poole,PG,23,GSW,13,284,9.6,0.447,0.467,0.252,1.4,8.8,5.1,22.8,1.7,0.9,9.1,23.9,-0.2,0.3,0.1,0.018,-3.3,-0.6,-3.9,-0.1
Michael Porter Jr.,SF,24,DEN,20,654,13.4,0.541,0.56,0.124,3.7,24.4,14.4,6.5,0.8,1.5,3.5,17.6,0.7,0.9,1.6,0.117,0.3,-0.6,-0.3,0.3
Bobby Portis,PF,27,MIL,5,107,16.2,0.567,0.439,0.073,10.1,34.1,21.6,7.9,1.3,1.6,8.6,18.2,0.1,0.1,0.2,0.103,-0.5,-0.3,-0.8,0.0
Norman Powell,SG,29,LAC,5,167,17.6,0.608,0.421,0.408,2.6,8.1,5.2,10.4,1.2,0.9,8.2,24.6,0.4,-0.1,0.3,0.093,2.0,-0.8,1.2,0.1
Jason Preston,PG,23,LAC,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.048,-4.9,-2.8,-7.6,0.0
Taurean Prince,PF,28,MIN,5,100,8.3,0.528,0.636,0.273,3.4,4.8,4.1,6.1,1.5,0.9,11.9,19.4,0.0,0.0,0.0,-0.02,-2.7,-1.3,-4.0,0.0
Payton Pritchard,PG,25,BOS,10,57,18.4,0.661,0.455,0.227,0.0,11.7,6.0,30.3,0.9,0.0,17.1,23.2,0.1,0.0,0.2,0.14,3.1,1.8,5.0,0.1
Immanuel Quickley,SG,23,NYK,8,175,7.4,0.481,0.561,0.303,1.3,7.1,4.2,7.6,1.2,0.0,10.7,21.3,-0.1,0.2,0.1,0.024,-2.6,-1.2,-3.7,-0.1
Julius Randle,PF,28,NYK,10,330,11.5,0.485,0.449,0.374,5.9,22.7,14.3,19.2,0.8,0.9,17.0,27.8,-0.4,0.5,0.1,0.017,-0.2,-0.6,-0.8,0.1
Austin Reaves,SG,24,LAL,16,579,15.4,0.616,0.454,0.294,3.9,8.9,6.5,18.2,0.8,0.5,10.2,18.5,1.2,0.4,1.6,0.135,2.0,0.2,2.2,0.6
Paul Reed,C,23,PHI,11,157,20.3,0.621,0.0,0.184,19.5,25.1,22.3,7.2,2.0,2.8,12.7,13.9,0.4,0.2,0.6,0.196,1.4,0.2,1.7,0.1
Austin Rivers,SG,30,MIN,4,46,7.8,0.625,0.75,0.0,2.5,10.4,6.3,3.2,1.1,0.0,11.1,9.0,0.0,0.0,0.0,0.024,-2.8,0.5,-2.2,0.0
Duncan Robinson,SF,28,MIA,23,418,14.0,0.641,0.715,0.051,0.3,9.2,4.6,14.5,1.0,0.7,11.0,19.5,0.6,0.3,0.9,0.101,1.4,0.9,2.3,0.5
Mitchell Robinson,C,24,NYK,11,298,16.6,0.568,0.0,0.688,21.1,17.9,19.5,4.7,1.2,5.4,13.8,10.8,0.5,0.6,1.0,0.165,0.6,0.6,1.2,0.2
David Roddy,PF,21,MEM,6,76,6.2,0.391,0.69,0.034,5.0,18.7,11.4,7.7,0.0,2.3,3.3,16.8,-0.1,0.1,0.0,0.002,-2.0,0.3,-1.6,0.0
Derrick Rose,PG,34,NYK,1,3,-43.9,0.0,0.25,0.0,0.0,0.0,0.0,45.4,0.0,0.0,0.0,59.3,-0.1,0.0,-0.1,-1.176,-35.3,-20.9,-56.2,0.0
Terrence Ross,SG,31,PHO,6,69,3.8,0.407,0.815,0.0,0.0,13.3,6.8,1.9,0.7,2.4,3.6,17.8,-0.1,0.0,-0.1,-0.082,-4.3,-2.5,-6.8,-0.1
Ricky Rubio,PG,32,CLE,3,17,-6.5,0.0,0.0,0.0,14.3,26.3,20.5,24.1,3.1,0.0,83.3,16.5,-0.1,0.0,-0.1,-0.254,-16.4,1.7,-14.7,-0.1
D'Angelo Russell,PG,26,LAL,16,473,12.2,0.516,0.446,0.133,2.4,7.9,5.3,23.2,1.1,1.0,12.3,21.9,0.0,0.4,0.4,0.039,-0.6,-1.1,-1.7,0.0
Domantas Sabonis,C,26,SAC,7,243,15.9,0.517,0.051,0.283,12.6,19.9,16.2,20.8,1.9,2.3,18.9,22.4,0.0,0.3,0.3,0.064,0.1,0.7,0.7,0.2
Dennis Schröder,PG,29,LAL,16,417,7.9,0.512,0.379,0.272,0.8,6.7,3.9,14.7,1.9,0.6,14.8,14.3,-0.1,0.4,0.3,0.036,-4.1,0.8,-3.4,-0.1
Landry Shamet,SG,25,PHO,10,184,6.3,0.513,0.644,0.089,1.9,8.7,5.4,7.4,0.5,0.4,7.9,12.1,0.0,0.0,0.0,0.002,-2.9,-1.4,-4.3,-0.1
Day'Ron Sharpe,C,21,BRK,2,20,19.8,0.773,0.0,0.667,11.7,22.6,17.2,41.1,0.0,4.6,34.0,14.5,0.1,0.0,0.1,0.206,1.4,5.8,7.2,0.0
